customer_id,customer_name,email,phone,address,city,state,zip_code,country,signup_date,customer_segment
CUST-10001,Julia Lewis,julia.lewis238@outlook.com,+1-954-304-9935,1524 Highland Dr,Montgomery,AL,,United States,2026-04-10,Consumer
CUST-10002,Sharon Reyes,sharon.reyes213@corporate.com,+1-425-659-5557,206 Maple Rd,Milwaukee,WI,83563,United States,2023-08-01,Consumer
CUST-10003,Michelle Parker,michelle.parker109@proton.me,+1-552-818-5333,811 Lakeview Ave,Miami,FL,59797,United States,2024-07-11,Consumer
CUST-10004,Dennis Lee,dennis.lee601@icloud.com,+1-921-271-1750,3833 Pine St,Ann Arbor,MI,57400,United States,2023-04-27,Small Business
CUST-10005,Margaret Ross,margaret.ross389@proton.me,+1-414-886-5374,1269 Highland Dr,Springfield,MA,31319,United States,2024-11-08,Consumer
CUST-10006,Gary Adams,gary.adams714@icloud.com,+1-901-532-1916,3852 Main St,Tacoma,WA,93886,United States,2023-10-28,Corporate
CUST-10007,Thomas Diaz,thomas.diaz681@bizmail.io,+1-605-858-8517,2440 Pine St,Stamford,CT,37869,United States,2023-03-27,Consumer
CUST-10008,Jacqueline Ortiz,jacqueline.ortiz380@icloud.com,+1-341-721-9085,1589 Main St,Waterbury,CT,62350,United States,2024-01-05,Corporate
CUST-10009,Kenneth Henderson,kenneth.henderson489@hotmail.com,+1-766-211-2876,8897 Pine St,Vancouver,WA,88104,United States,2026-01-21,Corporate
CUST-10010,Pamela Fisher,pamela.fisher522@outlook.com,+1-719-308-5889,8417 Highland Dr,Boston,MA,44522,United States,2025-07-12,Consumer
CUST-10011,Dorothy Marshall,dorothy.marshall341@bizmail.io,+1-219-314-6947,5138 Cedar Blvd,Salt Lake City,UT,88504,United States,2023-06-10,Consumer
CUST-10012,Christopher Perez,christopher.perez794@outlook.com,+1-331-875-8787,9107 Maple Rd,Portland,OR,79822,United States,2023-09-09,Consumer
CUST-10013,Henry Diaz,henry.diaz418@proton.me,+1-648-729-8397,2082 Cedar Blvd,Baton Rouge,LA,50857,United States,2023-05-23,Consumer
CUST-10014,Jesse Fernandez,jesse.fernandez82@gmail.com,+1-434-269-1514,5513 Oak Ave,Frederick,MD,10942,United States,2025-02-14,Consumer
CUST-10015,Jeremy Diaz,jeremy.diaz600@bizmail.io,+1-448-684-7669,3219 Oak Ave,Springfield,IL,84847,United States,2023-05-23,Consumer
CUST-10016,Henry Bell,henry.bell679@yahoo.com,+1-262-612-6559,1890 Cedar Blvd,Oklahoma City,OK,98259,United States,2023-10-18,Consumer
CUST-10017,Emily Henderson,emily.henderson905@yahoo.com,+1-653-763-2604,928 Broadway,Durham,NC,42742,United States,2025-05-21,Small Business
CUST-10018,Lisa Stewart,lisa.stewart228@corporate.com,+1-260-368-7209,135 Washington Ave,Chandler,AZ,73092,United States,2025-06-25,Consumer
